,run_0,run_1,run_2,run_3,run_4,run_5
IN,0.016666666666666666,0.03333333333333333,0.049999999999999996,0.06666666666666667,0.08333333333333333,0.09999999999999999
1a,0.08707667820658042,0.18141356946904424,0.277331901630546,0.3743857654548458,0.5011522227407417,1.2150398743038704
1b,0.08707667820658042,0.18141356946904424,0.277331901630546,0.3743857654548458,0.5011522227407417,1.2150398743038704
1c,0.08707667820658042,0.18141356946904424,0.277331901630546,0.3743857654548458,0.5011522227407417,1.2150398743038704
1d,0.08707667820658042,0.18141356946904424,0.277331901630546,0.3743857654548458,0.5011522227407417,1.2150398743038704
2a,0.07040941054301798,0.1480487687477732,0.2273308997979527,0.30771863567836716,0.4178166152603098,1.1338998507754434
2b,0.07040941054301798,0.1480487687477732,0.2273308997979527,0.30771863567836716,0.4178166152603098,1.1338998507754434
2c,0.07040941054301798,0.1480487687477732,0.2273308997979527,0.30771863567836716,0.4178166152603098,1.1338998507754434
RE,0.07040941054301798,0.1480487687477732,0.2273308997979527,0.30771863567836716,0.4178166152603098,1.1150399259000843
Purge,0.0,0.0,0.0,0.0,0.0,0.018859924875359146
