,run_0,run_1,run_2,run_3,run_4,run_5
IN,0.05,0.1,0.15,0.2,0.25,0.3
1a,0.2612300346197411,0.544240708407133,0.8319957048916374,1.1231572963645433,1.5034566682222226,3.6451196229116127
1b,0.2612300346197411,0.544240708407133,0.8319957048916374,1.1231572963645433,1.5034566682222226,3.6451196229116127
1c,0.2612300346197411,0.544240708407133,0.8319957048916374,1.1231572963645433,1.5034566682222226,3.6451196229116127
1d,0.2612300346197411,0.544240708407133,0.8319957048916374,1.1231572963645433,1.5034566682222226,3.6451196229116127
2a,0.21122823162905371,0.4441463062433197,0.6819926993938571,0.9231559070351075,1.2534498457809273,3.401699552326331
2b,0.21122823162905371,0.4441463062433197,0.6819926993938571,0.9231559070351075,1.2534498457809273,3.401699552326331
2c,0.21122823162905371,0.4441463062433197,0.6819926993938571,0.9231559070351075,1.2534498457809273,3.401699552326331
RE,0.21122823162905371,0.4441463062433197,0.6819926993938571,0.9231559070351075,1.2534498457809273,3.3451197777002535
Purge,0.0,0.0,0.0,0.0,0.0,0.05657977462607745
